sentence,target
"Witam . Miała m operowany łokieć w maju 2012 , Pan Doktor narwany jakby chciał wszystko szybko zrobic a szybko to mozna biec na setkę ! Nerw łokciowy jak przeskakiwał tak dalej przeskakuje czyli 3500 za 40 minut zabiegu , serdeczne Bog zapłać , w dodatku mam brzydka bliznę ( gdzie Uwaga ! Miała m operowaną trzy razy nogę i tam nie widac tych blizn jak na łokciu ! ! , nie ma to jak oszpecić sie idąc do lekarza , po tym czasie bede szukała innego ktory poprawi mi chociaż wygląd mojego łokcia , chociaż gdzie szukać , jestem juz zrażona do lekarzy , szczególnie tych z tymi tytułami . Siłownia odpada , generalnie ten łokieć jest duzo słabszy eh szkoda słów . Pisac habilitacje to sobie mozna a jak to sie przekłada na zycie . Nijak .",0
"Miła osoba i niewątpliwie ze świetnym podejściem do dzieci - co oceniam z perspektywy poczekalni , a nie jako pacjent . Jednak w przypadku interwencji wymagającej nieco więcej niż usunięcie powierzchownej zmiany - nie polecam . Sprawa wymagała nacięcia i pani dr usilnie starała się mnie zniechęcić do skorzystania z jej usług . Szkoda , że to zniechęcanie było nieskuteczne , co stwierdzam obecnie po miesiącach znoszenia negatywnych skutków ubocznych - nie tyle całości leczenia , co interwencji ściśle chirurgicznej .",0
"Nowa generacja lobby Największe zmiany w hotelach Novotel będą jednak dotyczyć powierzchni ogólnodostępnych . Projekty , które powstały w polskich pracowniach architektonicznych przygotowane zostały już z uwzględnieniem najnowszych trendów dla marki Novotel . „ Nowa generacja lobby ” zakłada nowatorskie rozwiązania , dostosowane do zmieniających się potrzeb dzisiejszych podróżujących . Według tego konceptu lobby to wielofunkcyjna , świetnie wyposażona przestrzeń , która jest „ duszą hotelu ” i centralnym punktem , gdzie goście mogą się spotkać , pracować , zrelaksować czy zjeść posiłek . To miejsce , które musi emanować przyjazną , gościnną atmosferą , stąd w nowych projektach lobby pojawiają się np . biblioteki czy miejsca przeznaczone do spotkań – tych biznesowych oraz tych mniej formalnych . Novotel Poznań Centrum Proces zmian hotelu Novotel Poznań Centrum trwa już od kilku lat . Modernizację przeszły już powierzchnie konferencyjne restauracja oraz bar . W tym roku przyszedł czas na lobby oraz recepcję . Renowacja tych przestrzeni rozpoczęła się już w styczniu , a jej zakończenie przewidziane jest na koniec kwietnia . Wystrój lobby i recepcji został przygotowany z myślą o jak najlepszym wykorzystaniu tych powierzchni oraz zapewnieniu maksymalnej wygody gościom .",0
"Pokoje są zbyt małe , raczej niewygodne i bardzo proste . Mieli śmy problem z parkowaniem - nie ma miejsca na parkingu . Personel raczej pomocny , ale nie więcej . Daleko od centrum miasta , ale blisko do lotniska Balice .",0
"Spędzili śmy w owym pałacu dwie noce . Na szczęście tylko dwie . Zacznę może od opisania pokoju . Pokój był remontowany bardzo dawno temu . Stare meble , dywany i tapety , które straszą , a nie zdobią pokój . Do tego trzeba dodać skrzypiącą w całym pokoju podłogę . W łazience prysznic wystawał ze ściany i ciężko było się pod nim umyć . Czystość pokoju pozostawiała wiele do życzenia . W pałacu w owym czasie znajdowało się jedynie około 6 gości , co było chyba powodem tego , że w obsłudze hotelu była tylko jedna osoba , która pracowała na recepcji , robiła jedzenie , podawała je i sprzątała w pokojach . Z czymś takim się jeszcze nie spotkał em . Jeżeli chodzi o jedzenie to było ono zjadliwe . Posesja pałacu strasznie zaniedbana . Trawa długo nie koszona siegala nam do kolan . Ścieżki porośnięte mchem i chwastami . Myślał em , że chociaż pobliskie jezioro zachwyci nas swym urokiem . Niestety zejście do wody zarośnięte było wysokimi chaszczami . Do opisu dołączam zdjęcia . Zdecydowanie odradzam pobyt w pałacu w Maciejewie .",0
"W hotelu znajdują się również mniejsze sale , w których zorganizować można bardziej kameralne konferencje . Dla firm , które podczas organizacji konferencji chcą podkreślać swoje zaangażowanie w ochronę środowiska , hotel przygotował specjalną ofertę „ Clutter Free ” , dzięki której minimalizuje się zużycie materiałów konferencyjnych na stolach oraz zużycie energii . „ Clutter Free ” gwarantuje proste , praktyczne środowisko pracy dla wszystkich uczestników konferencji , bez względu na wybrane przez organizatora ustawienie sali . Źródło : Starwood H & R Zdjęcia : Odświeżone sale konferencyjno - bankietowe w warszawskim hotelu Sheraton .",0
"W zeszłym roku była m w Hotelu Krasicki w ramach delegacji . W tym roku zamierzała m pojechać prywatnie - po dokonaniu obowiązkowej elektronicznej rezerwacji hotel , nie kontaktując się ze mną , wystawił fakturę na obligatoryjnie wnoszoną przedpłatę na zakład pracy i przesłał ją pracodawcy . "" Odkręcanie "" całej sprawy okazało się bardzo czasochłonne ( kilkanaście telefonów i maili ) . W końcu usłyszała m wymuszone "" przepraszam "" . Personel "" wyjaśnił "" zamieszanie tym , że dane mojego pracodawcy figurowały już w systemie przy moim nazwisku i faktura została "" automatycznie wygenerowana "" . Nie prosiła m o jej wystawienie , miał to być - jak wspomniała m - pobyt prywatny , z którego ostatecznie zrezygnowała m . W dodatku hotel początkowo uzależniał , wbrew regulaminowi , zwrot przedpłaty od anulowania przez pracodawcę faktury ( sic ! ) . W końcu udało mi się odzyskać wpłaconą kwotę . Totalne zamieszanie , niekompetencja i narażanie klientów na nieprzyjemności - to niedopuszczalne w żadnym obiekcie , a zwłaszcza tej - wydawało by się - klasy ! : (",0
"Kolejne punkty zabezpieczają interesy hotelu w stosunku do gości , którzy nie umieją się zachowywać zgodnie z normami współżycia społecznego i swoim zachowaniem lub działaniem rażąco naruszają przyjęty w hotelu porządek , szkodząc nie tyle hotelowi , co gościom stosującym się do regulaminu . Trzeba pamiętać , że hotel ma obowiązek dbać o właściwą jakość pobytu , a tym samym o interes tych gości , którzy zachowują się zgodnie z regułami i regulaminem , a nie pojedynczych pieniaczy , chuliganów czy awanturników . Stosunkowo młody stażem zakaz całkowitego palenia w obiekcie hotelowym - zgodny z duchem ustawy i po jej przywołaniu - także powinien znaleźć się w hotelowym regulaminem .",0
"A ja już nie wiem - pani dr niby zdecydowana i znająca się dobrze na rzeczy , ale drażni mnie ten chaos , jaki wokół siebie wytwarza , ciężko otrzymać precyzyjną odpowiedź na pytania o np . przepisane leki czy rokowania . Jak tam jestem na wizycie to mam wrażenie , że trochę "" przeszkadzam , bo pacjenci czekają "" . Chyba pójdę też prywatnie na jakąś 1 konsultację zasięgnąć drugiej opinii co do diagnozy i sposobu leczenia . Za to wielki plus dla pań pielęgniarek w gabinecie zabiegowym - za fachowość , porządek i przyjazność pacjentom .",0
"3 razy była m na USG u dr Szubera i za każdym razem był inny . Pierwszy raz gburowaty i nie przyjemny , drugi raz ( była m z mężem ) wesołek i żartowniś , za trzecim razem zaczął opowiadać historie że teraz każdy mąż zdradza i mój pewnie też zrobi skok w bok - ręce opadają . Co do jego kwalifikacji to nie mam zastrzeżeń , oprócz tego , że wyniki za każdym razem kazał konsultować w lekarzem prowadzącym - sam szczególnie nie tłumaczył nic . Wiem , że przy kolejnym dziecku nie odwiedzę jego gabinetu . Moja ocena wynika z tego , że oczekuję od lekarza ( każdego ) konkretnej i rzetelnej informacji na temat mojego stanu , a nie oceniania czy mój mąż mnie zdradzi .",0
"Jest mi bardzo przykro , ponieważ zawsze staram się chwalić niż negatywnie oceniać obiekty , w których miała m przyjemność nocować , jednak w tym wypadku ciężko jest dostrzec pozytywny aspekt tego hotelu . Od samego początku wizyty organizacja hotelu budziła zastrzeżenia . . . problem z otrzymaniem wcześniej ustalonego pokoju , przygotowanie obiadokolacji dla dwóch osób pomijając dziecko , cała infrastruktura dookoła hotelu w ruinie ( rowery pordzewiałe , brak rowerków dla dzieci oraz fotelików , na placu zabaw pełno drzazg - z niczego nie byli śmy wstanie skorzystać ) , nieprzyjemny zapach w pokoju , czystość na marnym poziomie . Była m w stanie to wszystko przemilczeć i dobrze się bawić , jednak w momencie wymeldowania otrzymała m informację , że muszę uregulować dodatkowe opłaty związane z pobytem dziecka - gdzie przed dokonywaniem rezerwacji i opłacaniem pobytu podkreśliła m wiek dziecka i wszytko się zgadzało . Właściciele nie umieją odpowiedzieć za brak wiedzy w tym temacie swoich pracowników i żądają od Gości dodatkowych opłat , co jest sytuacja absurdalną . Zapłaciła m i wyszła m z ogromnym niesmakiem i niechęcią do tego miejsca .",0
"„ W programie kształcenia tancerzy w polskich szkołach brakuje uporządkowanych metodycznie zajęć z : anatomii człowieka i biomechaniki tańca , nie uczy się tancerza , jak pracować , żeby sobie nie zaszkodzić . Cel naszych badań , określających dokładnie obciążenia , jakim są poddawani tancerze , to również ich wykorzystanie w praktyce – w programach nauczania , być może sformułowaniu nowych przepisów dotyczących zawodu tancerza w Polsce ” – dodała . Badania wykazały m . in . , że tancerze zawodowi są narażeni na osteoporozę . „ Ta zależność również jest efektem przeciążeń układu ruchu , bo przecież rekreacyjne uprawianie sportu chroni przed osteoporozą . Choroba zagraża tancerzom , u których występują zmiany w gospodarce hormonalnej . Z reguły występuje w obszarach aparatu ruchowego mniej obciążanych w codziennych treningach , np . kości promieniowej . Organizm niejako chroni silną mineralizacją eksploatowaną miednicę czy kości udowe ” – wyjaśniła badaczka .",0
"Hotel i jedzenie ok oprócz managementu i recepcji . Pracownicy hotelu zapraszają na bezpłatne kolacje po czym na koniec wyjazdu każą płacić . Sprawa była zgłaszana do managera lecz on przeprosił za swój słabo wykwalifikowany personel i stwierdził że mimo winy personelu musimy zapłacić . Nie polecam , niepotrzebny stres",0
"Na początku chciał by m wyjaśnić że oceniam tylko przestrzeń szkoleniową hotelu , a więc sale oraz restaurację hotelową która została zamknięta dla innych gości na czas szkolenia . . Mimo że obiekt mi się bardzo podoba i jest pięknie usytuowany i solidnie wykończony dał em tylko dwa punkty ponieważ : . Na początek szkolenia sala nie była przygotowana właściwie , rzutnik nie dział prawidłowo podczas puszczania slajdów światło "" migało "" . Kuriozalną sprawą było to że jeden z produktów reklamowanych na tym szkoleniu ma opakowanie koloru różowego i jest to niezwykle istotne ponieważ kierowany jest do kobiet i ten róż jest wyróżnikiem na tle konkurecji na prezentacji na rzutniku pudełko było wyświetlane jako niebieskie ! była to antyreklama tego produktu . Po zakończonym szkoleniu zwyczajowo firma zaprasza na poczęstunek tutaj była to obiadokolacja oraz kawa ciasto . Czas oczekiwania na swoją kolej był bardzo długi . Ja czekałem ponad pół godziny na swój posiłek . Inni którzy byli pierwsi w kolejce zdąrzyli zjeść zupę drugie danie i podchodzili już po kawę i słodkości ( ten asortyment na szczęście był w innym miejscu serwowany . Jak już skonsumował em swój posiłek to brakło ciasta i trzeba było z kolei czekać na ciasto . Jeśli chodzi o organizowanie imprez masowych to chaos jedna wielka porażka .",0
"Byli śmy dwukrotnie z dzieckiem u prof . Szarmacha , mniej więcej w odstępie roku . Za pierwszym razem pomógł nam skutecznie . Kiedy więc małemu pojawiło się pod obojczykiem takie zrogowacenie skóry utrzymujące się przez kilka tygodni , udali śmy się ponownie . Po opisaniu problemu , zapytał em czy nie jest to przypadkiem jakieś atopowe zapalenie lub coś w tym rodzaju , bo widział em je kiedyś i wyglądało podobnie . Pan Szarmach udał , że nie słyszy i zaczął oglądać zmianę na skórze . Po moim ponownym pytaniu stwierdził z pełną stanowczością , że to nie AZC , tylko znamię , które od tak - samo z siebie - się pojawiło . Dodał też , że nie można nic z tym zrobić . Przepisał jednak ze 4 specjalistyczne specyfiki do mycia i smarowania . Zapytał em dlaczego , skoro i tak wg . niego nic nie pomoże . W odpowiedzi zrobił mi wykład o tym , że "" przecież przychodzę po poradę do eksperta , a on uważa to za wskazane "" i że "" on swoim studentom mniej tłumaczy niż mi "" . Zniesmaczeni tą wizytą postanowili śmy zignorować jego zalecenia i używali śmy dokładnie tych samych kosmetyków co wcześniej . Po 2 miesiącach , po "" znamieniu "" , które miało zostać na całe życie , nie było ani śladu ! Profesor Szarmach dokonywał diagnozy dość niepewnie , jakby nie do końca ufał swojemu wzrokowi . Zapominał też , że już o coś pytał lub coś mówił , a do tego mylił nazwy specyfików . Przychodząc tam musisz się dodatkowo liczyć z tym , że zostaniesz potraktowany jak student - to od Ciebie profesor czegoś oczekuje ( np . mówienia tego co on chce i tylko wtedy kiedy chce ) . Ty możesz co najwyżej ( ale po cichu ) mieć nadzieję , nie oczekiwać . Radzę zastanowić się dwa razy przed rezerwacją wizyty .",0
"Niestety , Pani doktor nie spełniła również moich oczekiwań . Trafiła m do niej z diagnozą niedoczynności tarczycy , o której nic nie wiedziała m , a po wizycie wcale nie wiedziała m więcej . Rzeczywiście wyjątkowo małomówny lekarz , zero informacji jak sobie radzić z dolegliwościami . Nie potrafię ocenić kompetencji Pani doktor , wystawia recepty , robi USG ( bez słowa ) , ja ( pacjent ) żyję , więc samo leczenie jest chyba w miarę trafione , choć naprawdę nie mam pewności , czy najlepsze z możliwych .",0
Lekarz jest bardzo kontatowy i uprzejmy . Na wizycie zbadal mnie i byl bardzo pewien swojej diagnozy . Przepisal reklamowke lekow i powiedzial ze na pewno pomoga - niestety ani diagnoza ani przepisane leki nie przyniosly zamierzonego efektu . Dodatkowo przy ostrym bolu kolan nawet nie skierowal mnie na usg . . .,0
"Accor będzie także kontynuować strategię marek w 2012 roku , w tym rebranding Ibisa oraz rozwój segmentu luksusowego , czyli Pullmana i Sofitela . Do roku 2012 Accor planuje podwoić liczbę hoteli pod marką Pullman ( obecnie jest ich 60 – przyp . Red . ) , ” powiedział Denis Hennequin , prezes Accoru podczas telekonferencji . Zdjęcie : Jeden z obiektów należącej do Accoru sieci Motel 6 w USA . Trzy czwarte przychodów Accoru pochodzi z rynku europejskiego , jednak rozwijająca się dynamicznie na całym świecie sieć , dąży do zmiany tych proporcji .",0
"Pani doktor sprawia wrażenie nieprzyjemnej . Nie ma możliwości pełnej wypowiedzi , bo cały czas przerywa . Momentami można odnieść wrażenie , ze ma lekceważący stosunek do pacjenta . Nie udzieliła wyczerpujących informacji dot . Stanu zdrowia , zleciła badania , nie informując co mają one dowieść . Może pani doktor miała gorszy dzień . Na wizycie czuła m sie niekomfortowo , jakby m była tam z przymusu . Brakowało zwyczajnie zainteresowania z jej strony . Na kolejną wizytę z pewnością nie wrócę .",0
"O 7 , 3 proc . spadło wykorzystanie pokoi hotelowych w Nowym Jorku między 28 października a 3 listopada br . , co było związane z huraganem Sandy przechodzącym nad wschodnim wybrzeżem USA . W porównaniu z odpowiednim okresem roku 2011 wykorzystanie pokoi we wspomnianym tygodniu wyniosło w 80 , 5 proc . , średnia cena pokoju zmniejszyła się o 0 , 7 proc . do 290 , 78 do USD , a jej przychód na jeden dostępny pokój spadł o 7 , 9 proc . do 233 , 94 USD , wynika z danych firmy badawczej STR . „ Osłabiony popyt na hotele , które znalazły się w miejscowościach zagrożonych Sandy , został prawdopodobnie zamortyzowany przez napływ wysiedlonych , ekipy mediów relacjonujących niecodzienne zjawisko oraz likwidatorów szkód z firm ubezpieczeniowych .",0
"W hotelu przywitała nas przemiła obsługa w recepcji , Pan był tak uprzejmy , że w pewnym momencie już nawet nie wiedziała m co mam mu odpowiedzieć : ) Hotel jest nowy , nowocześnie urządzony , łazienka bardzo ładna . Darmowe wi - fi działa w całym hotelu . Jedynym minusem są naprawdę małe pokoje oraz problem z regulacją klimatyzacji , cały czas było zimno , ale ze względu na zmęczenie i tylko 1 noc w tym hotelu nie pofatygowały śmy się do recepcji w tej sprawie . Niestety nie można też otwierać okien w pokojach . Mimo pobliskiej stacji kolejowej było cicho , także schody i korytarze są wyłożone tłumiącą hałasy wykładziną . Dojazd do centrum szybki i łatwy : pociągiem lub autobusem miejskim ok . 15 minut . Polecam",0
"Wielkie rozczarowanie , jak za taką cenę warunki nie są godne polecenia . Jedyny plus to lokalizacja "" hotelu "" . Pokoje urządzone skromnie , podsumowując po prostu brzydkie , urządzone bez jakiegokolwiek gustu , to samo łazienka . Obsługa niemiła , co do rezerwacji to wielka pomyłka , jadąc z mężem i dzieckiem otrzymuję dwa łózka pojedyncze , gdzie w rezerwacji było zaznaczone małżeństwo z dzieckiem , wyświetliło się piękne zdjęcie , na którym miał być piękny pokój z łożem małżeńskim . Obsługa próbuje zgonić winę na osobę , która rezerwuję pokój . Natomiast przyjeżdżając na miejsce człowiek doznaje szoku , ponieważ czuję się jakby przyjechał w całkiem inne miejsce . Zdjęcia przedstawione są nieaktualne , lepiej się nimi nie sugerować . Pobyt w tym hotelu na MINUS . NIE POLECAM !",0
była m w 9 miesiącu ciąży z wysypką na całym ciele . . . doktor nawet nie wstał żeby przyjrzeć sie lepiej ledwo rzucił okiem . . . . wypisał mi tylko maść z witamina a i do widzenia . Przez wysypke wyladowałam w szpital na 2 tygodnie az do porodu . Bardzo słabo patrzać na koszt wizyty,0
Nie jestem zadowolona z leczenia bo do tej pory okazało się mało skuteczne . Niemniej jednak Pani doktor jest bardzo miła i profesjonalna . Jedynym minusem są nie wygłuszone drzwi przez które wszystko słychać w poczekalni i salonie optycznym obok . Można spłonąć ze wstydu jak się wychodzi od Pani doktor i czuje się te wymowne spojrzenia . : / Na szczęście następna wizyta u innego lekarza .,0
" Głównym problemem Polski są pyły zawieszone i benzopiren . Głównym ich źródłem są instalacje przemysłowe i ogrzewanie domów  - powiedział PAP ekspert EEA w dziedzinie danych nt . jakości powietrza Alberto González Ortiz . Pod względem średniej stężeń ( ze wszystkich stacji pomiarowych ) PM 2 , 5 oraz benzopirenu nasz kraj znajduje się w niechlubnej ścisłej czołówce Europy - zaznaczył . Dodał również , że w ostatnich latach widać w Polsce niewielki , ale stały spadek całkowitych krajowych emisji PM 2 , 5 . Według raportu , zanieczyszczenie dwutlenkiem azotu w Polsce jest przyczyną 1 , 6 tys . przedwczesnych zgonów . Pod tym względem tego zagrożenia wśród 40 krajów Europy Polska znajduje się na 7 . miejscu : za Wielką Brytanią , Niemcami , Francją , Hiszpanią , Holandia i Belgią .",0
